№ п/п;Наименование маршрута;Номер маршрута ;Вид транспортa;Наименования промежуточных  остановочных пунктов по маршруту или наименования поселений, в границах которых расположены промежуточные остановочные пункты;Координата X;Координата Y
1;Шарья - Шекшема;338;автобус;Автостанция, турбаза, Варакинский;;
2;Шарья - Рождественское;346;автобус;Автостанция, Турбаза, Семениха, Аксеново, Столбецкое, Иваньково, пов. Берзиха;;
3;Шарья - Зебляки;351;автобус;Вокзал (по требованию),  почта (по требованию),  Центр (по требованию),  Авиационная (по требованию), Горланиха, Сабурихинская, Соколовский, Зебляки (монолит), Зебляки (центр);;
4;Шарья - Николо-Шанга;352;автобус;Вокзал, почта (по требованию), Центр (по требованию), Авиационная (по требованию), Аграрный техникум (по требованию), АТП (по требованию), Корегино, Осипово, Сад, Сафоново, Павлово, ДЭП, Филино, Больница;;
5;Поназырево - Шарья;389;автобус;Бурундучиха, Якшанга, Зебляки;;
6;Кострома - Шарья;526;автобус;Автовокзал, ж/д вокзал (в прямом направлении), Судиславль (автостанция), пов. Островское, Дымница, Вешка, Кадый (автостанция),  Якимово, Макарьев (автостанция), Унжа, Никулино, Леонтьево, Мантурово (автостанция), Знаменка, Шекшема, автостанция;;
7;Кострома - Шарья;526;автобус;Автовокзал,  Островское (автостанция), Кадый (автостанция),  Селище, Середники, Тренино, Якимово, Макарьев (автостанция), Ильинское, Половчиново, Унжа, Шемятино, Оманово, Никулино, Хлябишино, Угоры, Шулево, Леонтьево, Карьково, Самылово, Мантурово (автостанция), Знаменка, Медведица, Вочерово, Шекшема, Шарья;;
8;Шарья - Георгиевское;561;автобус;Автостанция, Пищевка, Кривячка, Верхнеспасское, Крутая, Каменка, Новинское, Авешня;;
9;Шарья - Вохма;564;автобус;Автостанция, Пищевка, Кривячка, пов. Верхнеспасское, Боровской, Пыщуг, Леденгск, Павино, Завраг, Березино, Петропавловское, Карпово, Котомино, Согра, Осипино, Вохма, автостанция;;
10;Шарья - Боговарово;565;автобус;Автостанция, Пищевка, Кривячка, пов. Верхнеспасское, Боровской, Пыщуг, Леденгск, Павино, Завраг, Березино, Петропавловское, Карпово, Котомино, Согра, Осипино, Вохма, автостанция;;
11;Шарья - Боговарово;565;автобус;Автостанция, Пищевка, Кривячка, пов. Верхнеспасское, Боровской, Пыщуг, Леденгск, Павино, Завраг, Березино, Петропавловское, Карпово, Котомино, Согра, Осипино, Вохма, автостанция;;
12;Шарья - Майтиха;567;автобус;Автостанция, Турбаза, Семениха, Аксеново, Столбецкое, пов. Берзиха, Бараново, Серково, Майтиха, Серково, Бараново, пов. Берзиха, Рождественское, Марутино;;
13;Шарья - Конево;568;автобус;Автостанция, Турбаза, Семениха, Аксеново, Столбецкое, пов. Берзиха, Рождественское, Козиониха, Гольяниха, Поветкино, Быково, пов. Троицкое, Одоевское ;;
14;Шарья - Печенкино;572;автобус;Автостанция, Турбаза, Семениха, Аксеново, Столбецкое, пов. Берзиха, Рождественское, ;;
